"SECTOR","STATE","YEAR","TYPE","STATUS","COST"
"Coal","AU-VIC",2017,"NEW PROJECT","Feasibility",143
"Coal","AU-VIC",2015,"NEW PROJECT","Feasibility",84
"Copper","AU-QLD",2016,"NEW PROJECT","Feasibility",294
"LNG, Gas, Oil","AU-VIC",2016,"EXPANSION","Committed",1000
"Iron Ore","AU-WA",2018,"NEW PROJECT","Feasibility",1900
"Coal","AU-NSW",2015,"NEW PROJECT","Committed",767
"Gold","AU-NSW",2017,"NEW PROJECT","Announced",500
"Other Commodities","AU-QLD",2017,"NEW PROJECT","Feasibility",345
"Coal","AU-QLD",2016,"NEW PROJECT","Feasibility",100
"Coal","AU-NSW",2015,"EXPANSION","Committed",70
"Coal","AU-QLD",2014,"EXPANSION","Completed",500
"Other Commodities","AU-NT",2016,"NEW PROJECT","Feasibility",70
"Coal","AU-NSW",2016,"EXPANSION","Feasibility",120
"Infrastructure","AU-NSW",2015,"EXPANSION","Completed",100
"Coal","AU-QLD",2016,"NEW PROJECT","Feasibility",148
"Other Commodities","AU-QLD",2017,"NEW PROJECT","Feasibility",54
"Other Commodities","AU-NT",2017,"NEW PROJECT","Feasibility",422
"Coal","AU-NSW",2019,"NEW PROJECT","Announced",2000
"Copper","AU-QLD",2017,"NEW PROJECT","Feasibility",95
"Copper","AU-QLD",2018,"NEW PROJECT","Feasibility",478
"Iron Ore","AU-WA",2020,"NEW PROJECT","Feasibility",177
"Other Commodities","AU-QLD",2016,"NEW PROJECT","Feasibility",76
"Gold","AU-WA",2016,"NEW PROJECT","Feasibility",195
"Gold","AU-NT",2017,"EXPANSION","Feasibility",1046
"Iron Ore","AU-WA",2015,"NEW PROJECT","Completed",71
"Nickel","AU-WA",2015,"REDEVELOPMENT","Feasibility",197
"Uranium","AU-WA",2018,"NEW PROJECT","Feasibility",378
"LNG, Gas, Oil","AU-NSW",2020,"NEW PROJECT","Feasibility",2000
"Nickel","AU-WA",2019,"NEW PROJECT","Feasibility",264
"Coal","AU-QLD",2017,"EXPANSION","Feasibility",896
"Coal","AU-QLD",2019,"NEW PROJECT","Announced",400
"Other Commodities","AU-NT",2019,"NEW PROJECT","Feasibility",1408
"Other Commodities","AU-WA",2016,"NEW PROJECT","Feasibility",70
